Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
52,0.17589386,0.20396557,0.00006178,0.4523,0.4585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5906,0.0000,0.0000,0.0000,0.0000,0.0000,45.5386,224,1.00,0.5000,15.0,0,30,1,0.000000
53,0.17479167,0.22408347,0.00006164,0.4445,0.4312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5885,0.0000,0.0000,0.0000,0.0000,0.0000,43.7873,224,1.00,0.5000,15.0,0,30,1,0.000000
54,0.17394174,0.21233257,0.00006150,0.4569,0.4525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5831,0.0000,0.0000,0.0000,0.0000,0.0000,45.4709,224,1.00,0.5000,15.0,0,30,1,0.000000
55,0.17290655,0.22053508,0.00006136,0.4479,0.4422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5863,0.0000,0.0000,0.0000,0.0000,0.0000,44.5027,224,1.00,0.5000,15.0,0,30,1,0.000000
56,0.16941860,0.21595531,0.00005203,0.4590,0.4491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5860,0.0000,0.0000,0.0000,0.0000,0.0000,45.4028,224,1.00,0.5000,15.0,0,30,1,0.000000
57,0.16340837,0.20623303,0.00005201,0.4582,0.4715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5845,0.0000,0.0000,0.0000,0.0000,0.0000,46.4885,224,1.00,0.5000,15.0,0,30,1,0.000000
58,0.15503822,0.21554032,0.00005552,0.4556,0.4619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5844,0.0000,0.0000,0.0000,0.0000,0.0000,45.8759,224,1.00,0.5000,15.0,0,30,1,0.000000
59,0.26594741,0.21888559,0.00005531,0.4612,0.4497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5788,0.0000,0.0000,0.0000,0.0000,0.0000,45.5489,224,1.00,0.5000,15.0,0,30,1,0.000000
60,0.14520254,0.21904544,0.00005517,0.4600,0.4478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5805,0.0000,0.0000,0.0000,0.0000,0.0000,45.3903,224,1.00,0.5000,15.0,0,30,1,0.000000
61,0.17926419,0.20948356,0.00005500,0.4425,0.4541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5891,0.0000,0.0000,0.0000,0.0000,0.0000,44.8291,224,1.00,0.5000,15.0,0,30,1,0.000000
62,0.14346327,0.21449850,0.00005482,0.4661,0.4566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5792,0.0000,0.0000,0.0000,0.0000,0.0000,46.1372,224,1.00,0.5000,15.0,0,30,1,0.000000
63,0.13809512,0.22852437,0.00005464,0.4557,0.4380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5801,0.0000,0.0000,0.0000,0.0000,0.0000,44.6836,224,1.00,0.5000,15.0,0,30,1,0.000000
64,0.17527576,0.21581342,0.00005446,0.4415,0.4440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5883,0.0000,0.0000,0.0000,0.0000,0.0000,44.2763,224,1.00,0.5000,15.0,0,30,1,0.000000
65,0.17431576,0.21597921,0.00005427,0.4274,0.4445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5940,0.0000,0.0000,0.0000,0.0000,0.0000,43.5905,224,1.00,0.5000,15.0,0,30,1,0.000000
66,0.17116416,0.22532122,0.00004597,0.4511,0.4323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5887,0.0000,0.0000,0.0000,0.0000,0.0000,44.1710,224,1.00,0.5000,15.0,0,30,1,0.000000
67,0.16911365,0.22933023,0.00004682,0.4378,0.4398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5876,0.0000,0.0000,0.0000,0.0000,0.0000,43.8798,224,1.00,0.5000,15.0,0,30,1,0.000000
